CASE# 1:
1047 not found
514 not found
5071 not found
5120 found at 476
9259 not found
3915 not found
5607 not found
1523 not found
9532 not found
2924 not found
3411 not found
4486 not found
4863 not found
6182 not found
1151 not found
847 not found
5780 not found
4799 not found
855 not found
486 not found
6062 not found
6607 not found
3121 not found
4263 not found
5662 not found
3169 not found
9979 not found
2723 not found
6257 not found
1095 not found
7663 found at 727
7460 not found
811 not found
4359 not found
5431 not found
918 not found
6169 not found
6368 not found
9734 found at 912
6420 not found
3566 not found
2780 not found
1011 not found
6302 found at 600
7279 not found
1995 not found
2065 not found
6664 not found
6932 not found
356 not found
650 not found
219 not found
8024 not found
3559 not found
3173 not found
4912 not found
8898 not found
2827 not found
9387 not found
6503 not found
7515 not found
8159 not found
8827 found at 828
6943 not found
5658 not found
4812 not found
2585 not found
9056 not found
8802 found at 825
144 not found
4933 not found
1626 not found
2235 not found
3503 not found
682 not found
4014 found at 372
5945 not found
4829 not found
8893 not found
3564 not found
1614 found at 133
5911 found at 568
1117 not found
5339 found at 500
9722 not found
3368 not found
8922 not found
1949 not found
8640 not found
1920 not found
4693 not found
1888 found at 163
1652 not found
2048 not found
6502 not found
4635 not found
6003 not found
5353 not found
4376 not found
174 not found
5601 not found
1441 found at 120
5235 not found
803 not found
3416 not found
5278 not found
2231 not found
1329 not found
5042 not found
9599 not found
4882 not found
6831 not found
7847 not found
1017 not found
833 not found
8019 not found
7449 not found
5374 not found
5750 not found
5281 not found
6614 not found
9408 not found
5244 not found
981 found at 68
1574 not found
8343 not found
8715 not found
1762 not found
8345 not found
2804 not found
7123 found at 677
8393 not found
4286 not found
3349 not found
6134 found at 588
9793 not found
8757 not found
5166 not found
7082 not found
3814 not found
2980 not found
15 not found
1507 not found
6330 not found
3588 not found
7007 not found
4773 not found
221 not found
1302 not found
1293 not found
5737 not found
5536 not found
9926 not found
278 not found
3756 not found
7437 not found
5997 not found
7835 not found
4529 not found
5350 not found
3921 not found
4905 not found
1248 not found
8417 not found
6888 not found
1922 not found
1279 not found
56 not found
7974 not found
9460 not found
2429 not found
9265 not found
4393 not found
2373 not found
3201 not found
416 found at 23
662 not found
8600 not found
7567 not found
5246 not found
2039 not found
7501 not found
7317 not found
6381 not found
768 not found
4458 not found
1695 not found
840 not found
2137 not found
9442 not found
76 not found
9356 not found
8155 not found
4186 not found
9776 not found
1175 not found
5656 not found
8120 not found
6840 not found
3789 not found
3767 found at 347
569 not found
6628 not found
1115 not found
6378 not found
7363 not found
8979 not found
9420 not found
3153 not found
5318 found at 496
6329 not found
7698 not found
6061 not found
8747 not found
4905 not found
3793 not found
9097 not found
220 not found
6396 not found
3112 not found
8463 not found
1744 not found
9149 not found
5703 not found
9730 not found
3676 not found
4892 not found
4887 not found
5458 not found
3516 not found
1292 not found
9668 not found
9688 not found
4832 not found
6737 not found
9711 not found
1162 not found
8895 not found
2458 not found
9230 found at 864
4226 not found
3242 not found
4421 not found
1537 found at 127
9146 not found
1823 not found
9793 not found
690 not found
8082 not found
9929 not found
7323 not found
640 not found
4716 not found
6433 not found
1533 not found
979 not found
6192 not found
8649 not found
353 not found
4027 not found
7022 not found
8101 not found
5777 not found
9171 not found
2280 not found
1468 not found
6362 not found
8394 not found
1215 not found
7403 not found
6803 not found
5281 not found
510 not found
3227 not found
5293 not found
2914 not found
957 not found
9826 not found
5648 not found
4275 not found
2006 not found
6229 not found
3017 not found
4016 not found
6458 not found
3921 not found
4828 not found
198 not found
9075 not found
6881 not found
9591 not found
3749 found at 346
522 found at 33
7026 not found
8263 not found
1941 not found
3479 not found
5892 not found
3922 not found
9817 not found
6150 not found
9558 not found
2199 not found
7481 not found
8183 not found
3256 not found
4844 not found
2365 not found
2944 not found
347 not found
1390 not found
8277 found at 778
8019 not found
6898 not found
3057 not found
4443 not found
7668 found at 729
8906 not found
4039 not found
3067 not found
4158 not found
1710 not found
121 not found
7234 not found
6282 not found
4264 not found
7100 not found
6433 not found
7674 not found
7423 not found
1421 not found
9504 not found
328 not found
6224 not found
2953 not found
2808 not found
9161 not found
4351 not found
7300 not found
8422 not found
8874 not found
4531 not found
1919 not found
102 not found
1938 not found
9314 not found
8104 not found
621 not found
3178 not found
1710 not found
6645 not found
5884 not found
7342 not found
3747 found at 345
3115 not found
912 not found
3247 not found
3813 not found
4386 not found
9056 not found
CASE# 3:
6308 not found
9503 not found
6336 not found
1130 not found
2916 not found
9681 not found
9682 not found
9021 not found
1377 not found
8939 not found
3723 not found
9024 not found
5762 not found
371 not found
1746 not found
8700 not found
5534 not found
8601 not found
9309 not found
8001 not found
9460 not found
5690 not found
9909 not found
8777 not found
3436 not found
868 not found
1301 not found
2254 not found
9192 not found
8146 not found
5158 not found
5328 found at 371
1310 not found
2449 not found
5733 not found
5510 not found
8219 not found
9133 not found
8942 not found
6946 not found
5319 not found
1673 not found
4591 not found
7110 not found
8654 not found
7443 not found
4502 not found
6653 not found
9731 not found
5585 not found
4076 not found
6935 not found
4036 not found
5825 not found
3804 not found
9955 not found
2953 not found
2395 not found
5670 not found
192 not found
891 not found
1365 not found
4432 not found
2070 not found
7418 not found
893 not found
2110 not found
2223 found at 165
639 not found
3103 not found
6398 not found
5432 not found
7985 found at 583
9715 not found
5444 found at 382
6035 not found
1596 not found
4551 not found
88 not found
2599 not found
7116 found at 522
1434 not found
6692 not found
8980 not found
5886 not found
5889 not found
3417 not found
7115 not found
7196 not found
469 found at 35
4788 not found
3590 not found
787 found at 62
8869 found at 646
5373 not found
3627 not found
6143 not found
3149 not found
3989 not found
6002 not found
8326 not found
2154 not found
5837 not found
9921 not found
6133 not found
9645 not found
9171 not found
6863 not found
4343 not found
816 not found
6699 not found
678 not found
3814 not found
3021 not found
398 not found
520 not found
1683 not found
8747 not found
7246 not found
4516 not found
1409 not found
6766 not found
9290 not found
8705 not found
6498 found at 466
3304 not found
6944 not found
8046 not found
3085 found at 219
9631 not found
1231 not found
7000 not found
9329 not found
2479 not found
6956 not found
9302 not found
1835 not found
5290 not found
2765 not found
3045 not found
994 not found
5162 not found
3580 not found
7823 not found
6415 not found
2139 not found
3161 not found
9668 not found
4733 found at 340
572 not found
1088 not found
5736 found at 399
4353 not found
2565 not found
382 not found
4192 not found
3779 found at 267
7304 not found
5146 not found
1808 not found
9551 not found
5878 not found
3644 not found
10000 not found
8765 not found
4079 not found
6325 not found
6524 not found
9988 not found
9278 not found
3993 not found
6796 not found
5918 not found
6941 not found
6450 not found
204 not found
6335 not found
6513 not found
6224 not found
7932 not found
2879 not found
8525 not found
1363 not found
2441 not found
4910 not found
3491 not found
8151 not found
8501 not found
1187 not found
135 not found
6568 found at 472
9548 not found
9510 not found
6305 not found
4370 not found
4916 not found
1426 not found
184 not found
5914 not found
5465 not found
4799 not found
657 not found
2792 not found
4585 not found
9356 not found
2278 not found
3823 not found
440 not found
7740 not found
9663 not found
5840 not found
6811 found at 491
3899 not found
1167 not found
2542 not found
3386 not found
240 not found
289 not found
2030 not found
5893 not found
1442 not found
8770 not found
2572 not found
6643 not found
6106 not found
4232 not found
9727 not found
5040 not found
1091 not found
6840 not found
168 not found
773 not found
7098 not found
9385 not found
9955 not found
7899 not found
8542 not found
2268 not found
4794 not found
1915 not found
2352 not found
5849 not found
2268 not found
7099 not found
8886 not found
7475 not found
5889 not found
2823 not found
2985 not found
4802 not found
2004 not found
2394 found at 179
4417 found at 321
2983 not found
7894 not found
7435 not found
3767 not found
1339 not found
6972 not found
7109 not found
9582 found at 688
1592 not found
766 not found
2178 found at 154
408 not found
7361 not found
1626 not found
8424 not found
5988 not found
9648 not found
4085 not found
5883 not found
1875 not found
7683 found at 559
9273 not found
5757 not found
5971 not found
4766 not found
7952 not found
7869 not found
4231 not found
5839 not found
6590 found at 474
4669 not found
3061 not found
6446 not found
9481 not found
8178 not found
9898 not found
9053 not found
8851 not found
4321 not found
1994 not found
3910 not found
6726 not found
3665 not found
7631 not found
5533 not found
6753 not found
3548 not found
6315 not found
8096 not found
3296 not found
2722 not found
442 not found
438 not found
3684 not found
3686 not found
7334 not found
553 not found
8993 not found
5587 not found
7749 not found
5476 not found
5023 not found
5470 not found
4109 not found
7326 not found
1010 found at 86
92 not found
5863 not found
2523 not found
3436 not found
2848 not found
2824 not found
4983 not found
1920 not found
8480 not found
6723 not found
1461 not found
4141 found at 298
731 not found
1751 not found
5853 not found
5146 not found
5728 not found
4597 not found
6989 not found
5201 not found
3473 not found
7702 not found
9251 not found
8028 not found
5025 not found
5798 not found
3987 not found
7226 not found
2847 not found
6823 not found
6511 not found
321 found at 29
4985 not found
4337 not found
5875 not found
3413 not found
6601 not found
6382 found at 456
2565 not found
5353 not found
4166 not found
824 not found
8250 not found
2542 not found
2949 not found
2083 not found
8461 not found
7000 not found
9364 not found
8516 not found
3210 not found
5140 not found
9490 found at 680
3168 not found
6171 not found
9942 not found
921 not found
6051 not found
4154 not found
7516 not found
8903 not found
5080 not found
4383 not found
5189 not found
2132 not found
6116 not found
1890 found at 140
8026 not found
9808 not found
8638 not found
7342 not found
278 not found
6766 not found
365 not found
8486 not found
2394 found at 179
5685 found at 396
3882 not found
1883 not found
8646 not found
8325 not found
5593 not found
8198 not found
566 not found
9586 not found
6342 not found
1800 not found
8473 not found
9626 not found
3294 not found
1385 not found
1440 not found
7215 not found
8734 not found
4074 not found
9352 not found
2905 not found
5813 not found
6116 not found
7934 not found
6025 not found
8202 not found
636 not found
7169 not found
6668 not found
930 not found
680 not found
6411 not found
8016 not found
2990 not found
4918 not found
1913 not found
9871 not found
2544 not found
5744 not found
1889 not found
744 not found
5805 not found
1190 not found
1005 not found
4547 found at 327
289 not found
8612 not found
4677 not found
2756 not found
5554 not found
6566 not found
3547 not found
3529 not found
1384 not found
167 not found
7313 not found
5370 not found
1944 not found
2572 not found
641 not found
3502 not found
7763 not found
6150 not found
5748 not found
2498 not found
6628 found at 477
971 not found
3123 not found
6311 not found
9711 not found
6795 not found
4804 not found
7204 not found
9204 not found
197 found at 17
648 not found
1917 not found
8399 not found
1340 not found
2166 not found
592 found at 45
147 found at 15
5291 not found
583 not found
1184 not found
5631 not found
3272 not found
8044 not found
7526 not found
5994 not found
9468 not found
9245 found at 667
8693 not found
2679 not found
256 found at 21
7358 not found
7595 not found
9440 not found
8624 not found
4218 not found
7676 found at 557
6153 not found
6473 not found
2807 not found
4618 not found
7273 not found
3261 not found
6409 not found
6420 not found
2778 not found
8767 not found
9229 not found
9001 not found
7388 not found
7660 not found
6933 not found
4882 not found
3036 not found
9906 not found
4814 not found
1839 not found
9900 not found
4203 not found
5371 not found
9888 not found
4177 not found
5535 not found
1684 not found
9174 not found
6659 not found
9464 found at 677
15 found at 3
3196 not found
2105 not found
8079 not found
3951 not found
713 not found
8341 not found
3049 not found
9993 not found
417 not found
3100 not found
5006 not found
2270 not found
187 not found
8944 not found
4498 not found
6754 not found
8046 not found
3936 not found
600 not found
6498 found at 466
9905 not found
5765 not found
3249 not found
4731 found at 339
8334 not found
1528 not found
9890 not found
8499 not found
4919 not found
4960 not found
4310 not found
4381 not found
5244 not found
4433 not found
1642 found at 131
6774 not found
3427 not found
9746 not found
857 not found
808 not found
7398 not found
3569 not found
3200 not found
409 not found
1464 not found
1101 not found
9718 not found
3419 not found
6814 not found
4514 not found
8129 not found
8987 not found
8092 not found
6767 not found
2558 not found
4586 not found
4236 not found
6186 not found
4036 not found
6077 not found
4387 not found
2334 not found
3537 not found
4643 not found
3941 not found
4596 not found
3110 not found
52 not found
5620 not found
2238 not found
994 not found
1040 not found
6288 not found
2929 not found
8074 not found
4132 not found
4538 not found
6416 not found
8988 found at 653
6880 not found
1296 not found
8735 not found
2586 not found
1982 not found
8194 not found
5726 not found
56 not found
1754 found at 134
2154 not found
5454 found at 384
4476 not found
9982 not found
1320 not found
1647 not found
7537 not found
6205 not found
9406 not found
8080 not found
3050 not found
9121 not found
558 not found
1745 not found
7215 not found
5223 not found
5534 not found
2795 not found
9858 not found
4990 not found
1821 not found
7167 not found
9985 found at 711
6111 not found
418 found at 31
5557 not found
5967 not found
4134 not found
2169 not found
2675 not found
8778 not found
1258 not found
432 not found
7588 not found
1241 found at 100
129 not found
4504 not found
2602 not found
781 not found
9046 not found
3046 not found
9868 not found
2777 not found
787 found at 62
9520 not found
2629 not found
9502 not found
9186 not found
937 not found
114 not found
7444 not found
9677 not found
7678 not found
5646 found at 392
2265 not found
8476 not found
229 not found
3399 not found
4548 not found
3818 not found
5812 not found
639 not found
9801 not found
4641 not found
4136 not found
4765 not found
2609 not found
7756 not found
4531 not found
2656 not found
1821 not found
2572 not found
8021 not found
6593 not found
2753 not found
5642 not found
2979 not found
6397 not found
226 not found
5046 not found
2543 not found
2257 not found
3966 not found
8637 not found
3741 found at 266
2849 not found
1498 not found
5723 not found
3510 not found
6299 found at 451
747 found at 59
257 not found
7418 not found
5549 not found
3647 not found
9767 not found
1825 not found
7587 not found
514 not found
3284 not found
5096 not found
2114 not found
2053 not found
8496 not found
5113 not found
6457 not found
1578 not found
9863 not found
4995 not found
7699 not found
1768 not found
1041 not found
201 not found
7377 not found
6662 not found
8111 not found
4700 not found
8196 not found
15 found at 3
4639 not found
41 not found
6396 not found
1454 not found
4116 not found
5145 not found
7587 not found
1032 not found
8658 not found
1560 not found
8544 not found
2673 not found
3674 not found
6510 not found
3598 not found
1175 not found
10 not found
9470 not found
6081 not found
8172 not found
5094 not found
9240 not found
8844 not found
6646 not found
2211 found at 162
4955 not found
8914 found at 650
9549 not found
8443 not found
7076 found at 515
199 not found
648 not found
7764 not found
4780 not found
9434 not found
9183 not found
3051 not found
6792 not found
6499 not found
5129 not found
2012 not found
4481 not found
6146 not found
2317 not found
9613 not found
6217 not found
305 not found
2491 not found
1550 not found
848 not found
9860 not found
1591 not found
2442 not found
6607 not found
189 not found
1553 not found
620 not found
6878 not found
3997 not found
9291 not found
2879 not found
3941 not found
7236 not found
7418 not found
367 not found
7291 not found
5448 not found
3069 not found
9278 not found
2428 not found
2604 not found
8802 not found
3966 not found
6266 found at 445
1951 not found
7487 not found
8147 not found
91 not found
7597 not found
749 not found
2563 not found
8385 not found
5287 not found
407 not found
6322 not found
9439 not found
3707 not found
9682 not found
9734 not found
657 not found
7859 found at 573
5276 not found
9897 not found
3945 not found
5448 not found
7496 not found
4472 not found
6669 not found
6686 not found
9852 not found
8362 not found
138 found at 12
2351 not found
3918 not found
9817 not found
4787 not found
6639 not found
5302 not found
9373 not found
8875 found at 647
2200 not found
5278 not found
8066 not found
4864 found at 347
236 not found
8105 not found
2961 not found
8174 not found
4852 not found
5331 not found
5902 not found
8345 not found
569 not found
2996 not found
980 not found
8748 not found
1966 not found
3275 not found
387 not found
1290 not found
9632 not found
3400 not found
6957 found at 501
6021 not found
1278 not found
3021 not found
2206 not found
7332 found at 535
8808 not found
3933 not found
447 not found
7018 not found
7876 not found
3445 not found
5447 not found
8479 not found
4719 found at 337
6410 not found
9431 found at 675
8133 not found
3152 not found
6997 not found
3951 not found
2694 not found
395 not found
3639 found at 253
9363 not found
5596 not found
2361 not found
5408 not found
744 not found
7159 not found
2323 not found
1084 not found
9174 not found
3461 not found
632 found at 50
9113 not found
CASE# 4:
4146 not found
4053 not found
7789 not found
9425 not found
2879 not found
8911 not found
3104 not found
6852 not found
5270 not found
8382 not found
5336 not found
1039 not found
7942 not found
4821 not found
6501 not found
1570 not found
9317 not found
3351 not found
7763 not found
4065 not found
1163 not found
3072 not found
6496 not found
1605 not found
9595 not found
2642 not found
7162 not found
8329 not found
649 not found
9954 not found
1824 not found
1441 not found
297 not found
3744 not found
8231 not found
7422 not found
8250 not found
306 not found
2275 not found
7899 not found
1028 not found
5140 not found
7394 not found
1831 not found
5567 not found
1064 not found
4422 not found
4806 not found
5861 found at 14
8421 not found
9547 not found
7865 not found
6873 not found
1679 not found
66 not found
2323 not found
9332 not found
8959 not found
5720 not found
1657 not found
137 not found
9990 not found
3254 not found
608 not found
8320 not found
6178 not found
8602 not found
3822 not found
3559 not found
7998 not found
4312 not found
1784 not found
7255 not found
3086 not found
3184 not found
980 not found
6705 not found
1275 not found
8007 not found
4602 not found
5920 not found
8062 not found
6713 not found
8781 not found
3443 not found
8993 not found
9689 not found
738 not found
5569 not found
9760 not found
5685 not found
8557 not found
7661 not found
2770 not found
3003 not found
3560 not found
1547 not found
9732 not found
1842 not found
4457 not found
1630 not found
9330 not found
1216 not found
4755 not found
6781 not found
8874 not found
3852 not found
7648 not found
2701 not found
6859 not found
4815 not found
9851 not found
8002 not found
2847 not found
7544 not found
2901 not found
3053 not found
3506 not found
9407 not found
8354 not found
3272 not found
465 not found
9800 not found
5861 found at 14
5566 not found
4635 not found
337 not found
6626 not found
9811 not found
4161 not found
5719 not found
6401 not found
5877 not found
3423 not found
5475 not found
3545 not found
4880 not found
CASE# 5:
8639 not found
4834 not found
5900 not found
2212 not found
4122 not found
9160 not found
9944 not found
6217 not found
8534 not found
513 not found
4538 not found
4165 not found
1572 not found
5969 not found
9765 found at 606
6964 not found
2535 found at 152
6744 not found
1758 not found
5410 not found
3474 not found
9262 not found
6155 not found
4825 not found
2818 not found
3060 not found
3472 not found
5570 not found
1184 found at 57
9746 not found
3357 not found
2032 not found
6485 not found
1784 not found
8481 not found
8373 not found
3674 not found
1643 not found
9999 found at 620
8611 not found
4572 not found
2703 not found
7338 not found
327 not found
2207 not found
9170 not found
1230 not found
3066 not found
2226 not found
9590 not found
8361 not found
747 not found
9972 not found
3066 not found
5895 not found
2868 not found
5485 not found
1377 not found
5808 not found
2214 not found
8265 not found
5890 not found
6719 not found
5311 not found
9761 not found
7662 found at 476
2148 not found
677 not found
2061 not found
582 not found
6640 not found
3995 not found
9266 not found
1108 not found
7559 not found
7585 not found
4147 not found
1024 not found
8534 not found
9684 not found
2289 not found
9216 not found
7508 not found
2127 not found
781 not found
5975 not found
5856 not found
2257 not found
6643 not found
1586 not found
40 not found
1484 not found
112 not found
6576 not found
6810 not found
9974 not found
5106 not found
9966 not found
4345 not found
5971 not found
8777 not found
3837 not found
3748 not found
6239 not found
3542 not found
3640 not found
1248 not found
7734 not found
5114 not found
3428 found at 208
5516 not found
1363 not found
3310 not found
9345 not found
3846 not found
4169 found at 255
979 not found
6519 not found
5852 not found
4506 not found
8438 not found
3840 not found
6256 not found
2781 not found
6501 not found
7167 not found
6990 not found
4545 not found
8026 found at 497
8748 not found
8492 not found
8401 not found
8546 not found
7763 not found
3421 not found
9518 not found
8368 not found
9761 not found
6994 not found
3796 not found
6365 not found
1660 found at 84
642 not found
0 not found
8118 not found
8000 not found
3316 not found
23 not found
2587 not found
540 not found
5851 found at 365
1297 not found
988 not found
7487 not found
4897 not found
691 not found
3041 not found
1452 not found
8772 not found
2122 not found
2162 not found
9756 not found
6180 not found
1567 not found
2145 not found
6298 not found
2644 not found
3193 not found
2063 not found
1454 not found
9921 not found
2716 not found
4010 not found
4490 not found
5586 not found
3362 not found
4252 not found
9927 not found
5722 not found
1407 not found
7085 not found
820 not found
2126 not found
4931 not found
2271 not found
8844 not found
5210 not found
7599 not found
3403 not found
6174 not found
7466 found at 461
780 not found
4725 not found
8266 not found
846 not found
